Location Name,District,Governorate,Latitude,Longitude,Population,Economic,Social,Number of Families,Date,Origin
Al Shuhada Qtr,Khanaqin,Diyala,34.2794886,45.16793514,0.205,0,9.7,2030,13-Apr-17,Diyala
Al Jamahir Qtr,Khanaqin,Diyala,34.27707562,45.16680181,0.194,0,30,2010,13-Apr-17,Diyala
Al-Khadraa Qtr,Khanaqin,Diyala,34.1864263,45.11497819,0.19,0.203,26.4,35,13-Apr-17,Diyala
Bani weas Village,Khanaqin,Diyala,34.15516889,45.127185,0.188,0.282,12.1,220,13-Apr-17,Diyala
Murjana village,Khanaqin,Diyala,34.22486159,45.13215594,0.187,0,18.1,300,13-Apr-17,Diyala
Al Wehdaa Qtr,Khanaqin,Diyala,34.26736782,45.16158867,0.176,0.073,25.5,1390,13-Apr-17,Diyala
Al Nitham village,Kifri,Diyala,34.41350167,44.92609693,0.175,0.048,23.6,200,13-Apr-17,Diyala
Hammad Shihab,Tikrit,Salah al-Din,34.700996,43.61655,0.174,0.282,12.1,2,13-Apr-17,Diyala
Gwer,Makhmur,Erbil,36.043816,43.49773,0.161,0,10.6,1141,13-Apr-17,Erbil
Shahidan,Makhmur,Erbil,35.78075589,43.58504234,0.154,0,29.3,523,13-Apr-17,Erbil
Kurdistan ,Makhmur,Erbil,35.76717577,43.57776315,0.138,0,12,280,13-Apr-17,Erbil
Sherwany,Makhmur,Erbil,35.77564291,43.58093878,0.129,0,13.3,660,13-Apr-17,Erbil
Saray(markez bazar),Makhmur,Erbil,35.77545143,43.57846638,0.126,0.145,28.2,218,13-Apr-17,Erbil
Bndiyan,Makhmur,Erbil,35.77626707,43.58273364,0.112,0,30,265,13-Apr-17,Erbil
Farmanbaran,Makhmur,Erbil,35.77757108,43.57570425,0.097,0,12,246,13-Apr-17,Erbil
Qalat,Makhmur,Erbil,35.77731268,43.57313731,0.084,0,10.6,387,13-Apr-17,Erbil
Bnari Qara chogh,Makhmur,Erbil,35.78050824,43.59405613,0.065,0.282,12.1,65,13-Apr-17,Erbil
